Gastos_Mensais,Interesses,Tipo_Cartao_Credito,Profissao,Plano,Salario,Gasto_Mensal_Cartao,Viaja_Frequentemente,Renda_Mensal,Dependentes,Idade
2000,"Tecnologia, Esporte, Viagem",Platinum,Engenheiro,Plano Conexão,5000,3000,1,5000,2,35
1800,"Culinária, Literatura, Decoração",Gold,Professora,Plano Serenidade,4000,1500,0,4000,1,31
2200,"Esporte, Viagem, Decoração",Gold,Advogado,Plano Conexão,4500,1200,0,4500,3,38
2500,"Viagem, Design, Tecnologia",Platinum,Designer,Plano Conexão,6000,4000,1,6000,0,34
2200,"Cinema, Tecnologia",Gold,Analista,Plano Conexão,4800,800,0,4800,0,29
1500,"Viagem, Saúde",Platinum,Educadora,Plano Conexão,3500,2000,1,3500,1,34
1800,"Games, Tecnologia",Gold,Programador,Plano Conexão,4300,1500,1,4300,0,35
1200,"Moda, Tecnologia",Gold,Designer,Plano Equilíbrio,3000,900,0,3000,0,31
1800,"Casa, Culinária",Platinum,Engenheiro,Plano Serenidade,4000,1200,1,4000,1,34
1600,"Autonomia, Saúde",Gold,Analista,Plano Serenidade,3600,800,0,3600,0,30
1400,"Tecnologia, Música",Gold,Professor,Plano Equilíbrio,4200,1100,0,4200,2,37
1200,"Culinária, Saúde",Platinum,Nutricionista,Plano Serenidade,2900,700,1,2900,1,29
2300,"Tecnologia, Educação",Gold,Desenvolvedor,Plano Equilíbrio,5200,1500,0,5200,0,39
1300,"Esporte, Moda",Gold,Designer,Plano Equilíbrio,3000,800,1,3000,0,33
1100,"Música, Tecnologia",Gold,Músico,Plano Equilíbrio,2600,600,0,2600,0,31
1000,"Moda, Beleza",Gold,Estilista,Plano Equilíbrio,2500,500,0,2500,1,27
1400,"Fotografia, Arte",Gold,Fotógrafo,Plano Equilíbrio,3400,800,1,3400,0,37
900,"Culinária, Café",Gold,Barista,Plano Serenidade,2200,400,0,2200,1,30
2000,"Cinema, Tecnologia",Platinum,Analista,Plano Conexão,4500,1200,1,4500,0,39
1300,"Esporte, Moda",Gold,Educadora,Plano Equilíbrio,2800,500,1,2800,1,30
2000,"Games, Tecnologia",Gold,Engenheiro,Plano Conexão,4600,1500,0,4600,2,42
1400,"Culinária, Churrasco",Platinum,Chef,Plano Serenidade,3600,800,1,3600,0,32
2000,"Aventura, Saúde",Gold,Programador,Plano Serenidade,4800,1300,0,4800,0,36
2200,"Tecnologia, Educação",Gold,Estudante,Plano Equilíbrio,4500,1100,1,4500,0,31
1500,"Tecnologia, Fitness",Gold,Designer,Plano Equilíbrio,3500,600,0,3500,1,30
1200,"Culinária, Saúde",Gold,Nutricionista,Plano Serenidade,2700,500,0,2700,0,31
1300,"Culinária, Saúde",Gold,Chefe,Plano Serenidade,2900,600,1,2900,1,29
1800,"Cinema, Tecnologia",Platinum,Analista,Plano Conexão,4000,1100,0,4000,0,32
1500,"Games, Tecnologia",Gold,Professor,Plano Conexão,3300,900,0,3300,2,37
1200,"Culinária, Saúde",Gold,Chef,Plano Serenidade,3000,700,0,3000,1,31
2000,"Tecnologia, Música",Gold,Engenheiro,Plano Equilíbrio,4500,1300,1,4500,0,35
1400,"Aventura, Saúde",Gold,Educadora,Plano Serenidade,3600,800,0,3600,1,29
2000,"Games, Tecnologia",Gold,Programador,Plano Conexão,4800,1100,1,4800,0,42
1300,"Culinária, Saúde",Gold,Nutricionista,Plano Serenidade,3000,500,0,3000,1,30
2000,"Cinema, Tecnologia",Gold,Analista,Plano Conexão,4200,1500,1,4200,0,37
1800,"Tecnologia, Música",Platinum,Engenheira,Plano Equilíbrio,4000,1200,1,4000,2,32
2000,"Tecnologia, Educação",Gold,Professor,Plano Equilíbrio,4500,1500,0,4500,0,38
1300,"Games, Tecnologia",Gold,Analista,Plano Conexão,3200,800,1,3200,0,33
1100,"Moda, Beleza",Gold,Designer,Plano Equilíbrio,2600,600,0,2600,1,34
2000,"Cinema, Tecnologia",Platinum,Engenheira,Plano Conexão,4800,1200,1,4800,0,36
1800,"Culinária, Churrasco",Gold,Chef,Plano Serenidade,4000,1100,0,4000,2,31
1300,"Tecnologia, Fitness",Gold,Nutricionista,Plano Equilíbrio,2900,600,0,2900,1,27
2000,"Games, Tecnologia",Gold,Engenheiro,Plano Conexão,4800,1200,1,4800,0,35
1400,"Casa, Culinária",Platinum,Chef,Plano Serenidade,3600,800,0,3600,2,31
2000,"Cinema, Tecnologia",Gold,Programador,Plano Conexão,4200,1200,1,4200,0,36
2000,"Tecnologia, Educação",Gold,Estudante,Plano Equilíbrio,4500,1500,1,4500,0,34
1200,"Culinária, Saúde",Gold,Nutricionista,Plano Serenidade,3000,700,0,3000,1,29
1100,"Música, Tecnologia",Gold,Músico,Plano Equilíbrio,2600,600,0,2600,0,30
1400,"Fotografia, Arte",Gold,Fotógrafo,Plano Equilíbrio,3400,800,1,3400,0,37
1600,"Autonomia, Saúde",Gold,Analista,Plano Serenidade,3600,800,0,3600,1,30
2000,"Games, Tecnologia",Gold,Professor,Plano Conexão,4200,1100,1,4200,0,38
1300,"Esporte, Moda",Gold,Nutricionista,Plano Equilíbrio,2900,600,1,2900,0,31
1400,"Tecnologia, Fitness",Gold,Educador,Plano Equilíbrio,3600,800,0,3600,2,38
1200,"Culinária, Saúde",Gold,Chef,Plano Serenidade,2800,600,0,2800,0,28
1400,"Fotografia, Arte",Gold,Fotógrafo,Plano Equilíbrio,3000,800,1,3000,0,35
2000,"Games, Tecnologia",Gold,Programadora,Plano Conexão,4800,1200,1,4800,0,31
1800,"Cinema, Tecnologia",Gold,Professor,Plano Conexão,3200,800,0,3200,1,34
1400,"Culinária, Saúde",Gold,Chefe,Plano Serenidade,2900,600,1,2900,0,29
2000,"Games, Tecnologia",Gold,Professor,Plano Conexão,4200,1100,1,4200,0,37
1400,"Culinária, Saúde",Gold,Nutricionista,Plano Serenidade,2800,700,0,2800,0,32
